id.coral	id.uniprot	id.ensembl	id.entrez	id.HGNC	id.longname	kinase.fold	kinase.group	kinase.family	kinase.subfamily	branch.coords	branch.val	branch.group	branch.col	node.x	node.y	node.group	node.val.col	node.val.radius	node.radius	node.col	node.strokewidth	node.strokecol	text.x	text.y	text.col	text.font	text.size	text.label	ode.opacity	node.selected	nodeorder	branchorder
PPIP5K1	.	.	.	.	.	.	.	.	.	M940.032,356.674c-0.163,0.047-0.936,0.371-1.099,0.438c-5.315,2.178-10.504,4.331-14.753,8.617c-1.161-0.705-2.325-1.572-4.944-2.712c-8.27-3.62-12.383-1.337-18.349-2.152c-3.302-0.451-6.394-1.893-9.589-2.877c-3.984-9.117-16.742-5.896-23.723-15.059c-0.163-0.213-0.301-0.367-0.611-0.411c-0.64-0.092-1.14,0.57-0.861,1.162c0.024,0.05,0.057,0.095,0.085,0.142c7.295,9.731,20.222,6.988,23.226,15.095c0.105,0.285,0.13,0.469,0.362,0.692c0.142,0.136,0.253,0.182,0.42,0.248c4.283,1.387,7.451,3.401,12.812,3.765c5.971,0.405,9.62-0.825,17.026,3.605c0.496,0.294,1.151,0.759,1.82,1.215c1.743,1.191,2.624,1.752,3.663,1.165c0.188-0.106,1.854-1.623,2.19-1.911c3.834-3.231,8.542-4.843,13.608-6.671c0.124-0.044,0.217-0.075,0.341-0.135c1.001-0.484,1.429-1.635,1.16-2.614C942.458,356.98,941.154,356.345,940.032,356.674z	.	.	.	862.423	336.041	.	.	.	.	.	.	.	830.8664	354.7646	.	.	.	.	.	.	.	.
PPIP5K2	.	.	.	.	.	.	.	.	.	M940.032,356.674c-0.163,0.047-0.936,0.371-1.099,0.438c-5.315,2.178-10.504,4.331-14.753,8.617c-1.161-0.705-2.325-1.572-4.944-2.712c-8.27-3.62-12.383-1.337-18.349-2.152c-2.945-0.402-5.722-1.591-8.555-2.542c0,0-1.981-0.671-3.738-1.019c-1.011-0.2-2.043-0.331-3.124-0.354c-7.457-0.156-15.945,3.955-22.429-0.301c-0.579-0.384-1.199-0.028-1.3,0.505c-0.049,0.261,0.036,0.545,0.224,0.733c0.039,0.039,0.085,0.07,0.127,0.106c7.048,4.707,15.933,0.61,23.209,0.903c2.164,0.088,4.109,0.651,6.043,1.357c3.731,1.347,6.793,3.038,11.664,3.368c5.971,0.405,9.62-0.825,17.026,3.605c0.496,0.294,1.151,0.759,1.82,1.215c1.743,1.191,2.624,1.752,3.663,1.165c0.188-0.106,1.854-1.623,2.19-1.911c3.834-3.231,8.542-4.843,13.608-6.671c0.124-0.044,0.217-0.075,0.341-0.135c1.001-0.484,1.429-1.635,1.16-2.614C942.458,356.98,941.154,356.345,940.032,356.674z	.	.	.	856.181	351.748	.	.	.	.	.	.	.	846.791	338.3694	.	.	.	.	.	.	.	.
MINPP1	.	.	.	.	.	.	.	.	.	M940.032,356.674c-0.163,0.047-0.936,0.371-1.099,0.438c-3.436,1.408-6.816,2.816-9.927,4.786c-2.475-1.246-4.46-3.484-6.324-5.824c-8.415-10.552-6.167-16.44-7.726-24.392c-1.564-7.986-5.664-14.982-11.308-20.46c-0.245-0.238-0.399-0.415-0.773-0.409c-0.643,0.012-1.034,0.745-0.662,1.286c0.572,0.836,8.578,7.362,10.696,19.676c1.31,7.615-1.069,13.517,5.786,24.253c1.522,2.384,3.725,5.357,5.843,7.249c0.405,0.361,0.82,0.691,1.227,0.989c1.335,0.979,2.578,1.599,3.057,1.709c0.896,0.209,1.26-0.092,3.324-1.219c2.819-1.479,5.922-2.559,9.17-3.732c0.124-0.044,0.217-0.075,0.341-0.135c1.001-0.484,1.429-1.635,1.16-2.614C942.458,356.98,941.154,356.345,940.032,356.674z	.	.	.	896.68	305.913	.	.	.	.	.	.	.	877.5931	307.8683	.	.	.	.	.	.	.	.
PFKFB3	.	.	.	.	.	.	.	.	.	M1062.052,346.649c-0.219-0.147-0.517-0.178-0.76-0.08c-0.116,0.047-0.385,0.233-0.494,0.305c-3.224,2.094-6.57,3.782-10.271,4.714c-2.787,0.703-3.573,0.593-4.667,0.478c-0.402-0.042-0.842-0.076-1.443-0.084c-4.61-0.054-9.111,1.667-13.438,2.962c-3.685,1.103-6.626,1.722-11.332,1.532c-11.222-0.447-22.641-5.874-33.088-5.377c-5.818,0.278-11.305,1.92-16.858,2.396c-5.281,0.452-11.089-0.115-16.696,0.306c-4.977,0.378-12.981,2.741-13.643,3.175c-0.79,0.522-1.122,1.471-0.959,2.31c0.255,1.309,1.501,2.046,2.652,1.807c1.205-0.252,6.986-2.651,12.386-3.214c5.671-0.599,11.442-0.102,17.435-0.91c4.228-0.571,8.373-1.695,12.288-2.338c6.653-1.096,10.398-0.505,21.769,1.92c6.573,1.399,13.506,2.771,20.591,1.743c3.952-0.574,7.723-2.132,11.613-3.288c3.333-0.991,5.83-1.343,7.974-1.245c0.107-0.019,1.773,0.107,1.865,0.107c1.076-0.004,2.403-0.24,3.712-0.573c1.294-0.329,2.57-0.752,3.564-1.135c2.741-1.059,5.333-2.503,7.8-4.141c0.044-0.035,0.089-0.066,0.128-0.105C1062.533,347.558,1062.491,346.937,1062.052,346.649z	.	.	.	1068.665	342.416	.	.	.	.	.	.	.	1065.332	343.7064	.	.	.	.	.	.	.	.
PFKFB1	.	.	.	.	.	.	.	.	.	M1061.588,368.905c-0.052-0.015-0.109-0.018-0.163-0.028c-7.533-0.473-10.161-1.789-15.963-5.139c-3.917-2.261-6.548-3.764-10.409-4.811c-1.871-0.509-3.794-0.899-5.673-1.477c-1.508-0.465-3.686-1.205-5.643-1.04c-1.239,0.097-2.567,0.128-4.089,0.066c-11.222-0.447-22.641-5.874-33.088-5.377c-5.818,0.278-11.305,1.92-16.858,2.396c-5.281,0.452-11.089-0.115-16.696,0.306c-4.977,0.378-12.981,2.741-13.643,3.175c-0.79,0.522-1.122,1.471-0.959,2.31c0.255,1.309,1.501,2.046,2.652,1.807c1.205-0.252,6.986-2.651,12.386-3.214c5.671-0.599,11.442-0.102,17.435-0.909c4.228-0.571,8.373-1.695,12.288-2.338c6.653-1.096,10.398-0.505,21.769,1.92c6.214,1.322,12.762,2.619,19.444,1.888c2.069-0.043,3.017,0.506,5.107,1.071c2.328,0.633,5.088,1.048,7.649,1.991c4.569,1.687,8.562,4.656,13.136,6.691c3.571,1.58,7.006,2.071,11.053,2.325c0.056-0.002,0.111,0.004,0.164-0.005C1062.37,370.389,1062.442,369.132,1061.588,368.905z	.	.	.	1069.954	370.05	.	.	.	.	.	.	.	1068.2654	373.2947	.	.	.	.	.	.	.	.
PFKFB4	.	.	.	.	.	.	.	.	.	M1045.804,365.902c-0.394-0.7-0.822-1.369-1.272-1.971c-0.512-0.688-1.24-1.465-2.007-1.86c-2.486-1.368-4.653-2.38-7.472-3.144c-1.871-0.508-3.794-0.899-5.673-1.477c-1.508-0.465-3.686-1.205-5.643-1.04c-1.238,0.097-2.567,0.128-4.089,0.066c-11.222-0.447-22.641-5.874-33.088-5.377c-5.818,0.278-11.305,1.92-16.858,2.396c-5.281,0.452-11.089-0.115-16.696,0.306c-4.977,0.378-12.981,2.741-13.643,3.175c-0.79,0.522-1.122,1.471-0.959,2.31c0.255,1.309,1.501,2.046,2.652,1.807c1.205-0.252,6.986-2.651,12.386-3.214c5.671-0.599,11.442-0.102,17.435-0.91c4.228-0.571,8.373-1.695,12.288-2.338c6.653-1.096,10.398-0.505,21.769,1.92c6.214,1.322,12.762,2.619,19.444,1.888c2.069-0.043,3.017,0.506,5.107,1.071c2.328,0.633,5.088,1.048,7.649,1.991c1.401,0.517,2.743,1.161,4.068,1.854c0.472,0.263,0.87,0.512,1.127,0.728c0.843,0.705,1.862,2.38,2.387,3.405c1.651,3.219,1.469,4.807,1.813,7.092c0.476,3.235,2.261,6.046,4.543,8.329c0.069,0.068,0.134,0.138,0.215,0.189c0.41,0.267,1.003,0.123,1.213-0.38c0.098-0.244,0.071-0.542-0.079-0.763c-0.03-0.047-0.069-0.085-0.105-0.128c-1.067-1.051-2.056-2.305-2.784-3.604c-1.694-3.019-1.3-4.806-1.803-7.369C1047.415,369.264,1046.704,367.497,1045.804,365.902z	.	.	.	1057.145	388.854	.	.	.	.	.	.	.	1056.1451	392.1213	.	.	.	.	.	.	.	.
PGAM5	.	.	.	.	.	.	.	.	.	M1038.142,388.198c-2.666-2.888-5.61-5.311-9.099-7.045c-11.537-5.734-20.902-0.564-37.73-9.137c-4.297-2.186-8.324-4.966-11.795-7.954c-2.513-2.164-4.178-4.322-6.918-6.489c-0.286-0.226-0.612-0.474-0.952-0.73c-1.209-0.912-2.634-1.955-3.447-2.702c-0.816-0.591-1.419-0.441-4.084-0.464c-3.654-0.007-7.424-0.154-11.112,0.123c-4.977,0.378-12.981,2.741-13.643,3.175c-0.79,0.522-1.122,1.471-0.959,2.31c0.255,1.309,1.501,2.046,2.652,1.807c1.205-0.252,6.986-2.651,12.386-3.214c4.303-0.454,8.666-0.28,13.138-0.521c1.34,1.034,2.787,1.967,4.137,2.971c2.314,1.708,4.136,3.76,6.531,5.746c7.135,5.935,16.984,10.905,26.987,12.665c11.697,2.07,21.625-1.268,32.568,10.432c0.083,0.09,0.158,0.18,0.256,0.251c0.216,0.157,0.508,0.195,0.76,0.105c0.485-0.173,0.688-0.754,0.422-1.198C1038.213,388.282,1038.175,388.243,1038.142,388.198z	.	.	.	1042.52	395.652	.	.	.	.	.	.	.	1028.3073	398.4084	.	.	.	.	.	.	.	.
UBASH3B	.	.	.	.	.	.	.	.	.	M1028.111,415.275c-0.037-0.043-0.081-0.079-0.12-0.117c-7.52-5.823-16.15-5.252-24.704-11.384c-5.836-4.181-10.366-10.267-13.551-16.769c-3.132-6.45-3.555-10.851-6.759-16.756c-2.125-3.913-5.994-8.585-5.994-8.585c-1.355-1.362-2.656-2.725-4.383-4.091c-0.286-0.226-0.612-0.474-0.952-0.73c-1.209-0.912-2.634-1.955-3.447-2.702c-0.816-0.591-1.419-0.441-4.084-0.464c-3.654-0.007-7.424-0.154-11.112,0.123c-4.977,0.378-12.981,2.741-13.643,3.175c-0.79,0.522-1.122,1.471-0.959,2.31c0.255,1.309,1.501,2.046,2.652,1.807c1.205-0.252,6.986-2.651,12.386-3.215c4.303-0.454,8.666-0.28,13.138-0.521c1.34,1.034,2.787,1.967,4.137,2.971c1.246,0.919,2.354,1.942,3.48,2.997c0,0,4.122,4.299,7.033,9.731c2.193,4.097,3.414,8.805,5.501,13.162c3.625,7.552,9.001,14.761,16.086,19.489c8.671,5.747,16.932,5.254,24.065,10.673c0.076,0.057,0.154,0.121,0.245,0.166c0.237,0.118,0.531,0.108,0.765-0.022C1028.367,416.256,1028.426,415.642,1028.111,415.275z	.	.	.	1033.195	421.843	.	.	.	.	.	.	.	1027.9858	424.5981	.	.	.	.	.	.	.	.
UBASH3A	.	.	.	.	.	.	.	.	.	M1012.513,418.706c-2.871-3.362-6.041-6.061-7.136-11.478c-0.109-0.545-0.206-1.107-0.271-1.71c-0.038-0.395-0.106-0.501-0.323-0.719c-0.427-0.336-1.151-0.779-1.494-1.025c-5.836-4.181-10.366-10.267-13.551-16.769c-3.132-6.45-3.555-10.851-6.759-16.756c-2.125-3.913-5.994-8.585-5.994-8.585c-1.355-1.362-2.656-2.725-4.383-4.091c-0.286-0.226-0.612-0.474-0.952-0.73c-1.209-0.912-2.634-1.955-3.447-2.702c-0.816-0.591-1.419-0.441-4.084-0.464c-3.654-0.007-7.424-0.154-11.112,0.123c-4.977,0.378-12.981,2.741-13.643,3.175c-0.79,0.522-1.122,1.471-0.959,2.31c0.255,1.309,1.501,2.046,2.652,1.807c1.205-0.252,6.986-2.651,12.386-3.214c4.303-0.454,8.666-0.28,13.138-0.521c1.34,1.034,2.787,1.967,4.137,2.971c1.246,0.919,2.354,1.942,3.48,2.997c0,0,4.122,4.299,7.033,9.731c2.193,4.097,3.414,8.805,5.501,13.162c3.625,7.552,9.001,14.761,16.086,19.489c0.587,0.392,0.489,0.27,0.563,0.703c1.056,6.616,4.549,9.593,7.683,13.182c2.116,2.425,3.827,4.831,4.265,8.049c0.012,0.067,0.023,0.143,0.046,0.208c0.088,0.253,0.303,0.454,0.56,0.526c0.532,0.139,1.003-0.256,1.038-0.733c0.002-0.057-0.004-0.111-0.006-0.167C1016.519,424.01,1014.784,421.364,1012.513,418.706z	.	.	.	1018.236	435.765	.	.	.	.	.	.	.	1002.3401	438.2096	.	.	.	.	.	.	.	.
DUSP22	.	.	.	.	.	.	.	.	.	M437.023,337.263c-0.476-0.851-1.483-1.345-2.49-1.132c-0.204,0.043-0.249,0.07-0.444,0.143c-26.953,11.802-57.065,27.97-72.963,52.914c-5.904,9.262-9.571,19.353-10.565,30.247c-0.135,1.481-0.206,2.965-0.225,4.446c-2.082-4.359-1.92-9.565-4.106-14.363c-1.909-4.188-5-8.005-7.718-11.369c-7.138-8.67-9.034-12.397-9.86-20.334c-0.051-0.525-0.349-0.884-0.953-1.002c-3.493-0.44-6.34-1.687-9.702-8.121c-2.212-4.232-3.857-8.918-8.418-12.751c-1.843-1.549-4.14-2.776-5.101-3.068c-0.054-0.005-0.107-0.016-0.161-0.016c-0.806,0-1.128,1.044-0.467,1.499c0.045,0.031,0.097,0.053,0.145,0.08c6.675,2.857,9.255,8.519,10.9,12.024c2.615,5.576,5.161,11.13,11.697,12.349c0.788,8.597,3.414,12.796,9.459,20.557c2.479,3.181,5.406,6.755,7.329,10.848c2.721,5.801,1.647,13.04,6.463,18.604c2.046,2.359,4.617,1.797,4.423-2.41c-0.23-7.629,1.24-15.416,3.931-22.491c11.899-31.286,47.185-50.13,77.644-63.369C437.267,339.94,437.66,338.41,437.023,337.263z	.	.	.	296.352	350.349	.	.	.	.	.	.	.	274.9942	351.7648	.	.	.	.	.	.	.	.
DUSP7	.	.	.	.	.	.	.	.	.	M437.023,337.263c-0.476-0.851-1.483-1.345-2.49-1.132c-0.204,0.043-0.249,0.07-0.444,0.143c-26.953,11.802-57.065,27.97-72.963,52.914c-5.904,9.262-9.571,19.353-10.565,30.247c-0.299,3.275-0.318,6.564-0.036,9.808c0.003,0.041,0.004,0.082,0.007,0.123c-21.775-3.208-35.237-8.303-45.226-14.008c-0.866-0.5-3.203-1.93-3.283-1.97c-1.991-1.003-3.88-1.239-9.534-0.878c-11.981,0.775-17.863,6.875-29.147,6.913c0-0.001,0-0.002,0-0.003c-2.048-0.012-3.317-0.147-4.421-0.257c-0.644-0.064-1.445-0.024-2.762,0.142c-1.714,0.212-3.831,0.7-6.088,1.339c-5.052,1.429-10.814,3.612-14.376,5.147c-5.29,2.265-7.944,3.922-11.734,5.398c-3.328,1.318-9.489,3.446-14.38,4.709c-6.375,1.655-9.13,1.679-14.081,2.351c-8.577,1.172-8.309,2.35-12.542,4.355c-4.543,2.152-10.512,4.321-15.514,4.11c-0.096-0.004-0.196-0.011-0.294,0.004c-0.421,0.064-0.757,0.459-0.688,0.938c0.048,0.314,0.298,0.591,0.608,0.668c0.054,0.015,0.109,0.018,0.164,0.026c6.323,0.347,14.659-3.154,18.09-5.041c2.32-1.276,3.034-1.808,5.252-2.354c8.927-2.15,11.977,0.171,33.041-7.216c4.133-1.456,6.395-2.746,10.199-4.435c5.357-2.387,19.661-8.122,24.936-7.416c0.779,0.104,3.109,0.331,4.47,0.341c4.792,0.104,8.706-0.821,15.564-3.27c5.054-1.805,8.732-3.17,14.383-3.409c8.53-0.356,5.478,0.128,14.153,4.586c11.044,5.674,23.98,9.38,36.078,11.656c0.973,0.184,5.141,0.921,7.611,1.286c0.875,0.129,1.542,0.213,1.77,0.208c0.958-0.035,1.787-0.771,1.725-2.042c-0.014-0.113-0.17-3.138-0.208-3.67c-0.427-7.999,1.074-16.219,3.901-23.655c11.899-31.286,47.185-50.13,77.644-63.369C437.267,339.94,437.66,338.41,437.023,337.263z	.	.	.	159.142	445.704	.	.	.	.	.	.	.	138.5417	448.4233	.	.	.	.	.	.	.	.
INPP5F	.	.	.	.	.	.	.	.	.	M663.225,291.601c0.654,0.198,0.764,1.023,0.285,1.418c-0.04,0.035-0.093,0.062-0.137,0.093c-4.135,2.213-8.568,4.081-13.105,5.437c-5.484,1.637-9.217,2.016-13.381,2.161c-8.144,0.285-16.783-0.604-24.455,0.803c-9.089,1.624-13.46,5.293-20.918,9.066c-12.315,6.233-25.029,10.642-37.621,13.171c-22.685,4.56-39.395,1.516-63.558,4.015c-31.194,3.225-53.138,12.449-54.754,12.869c-1.176,0.306-2.486-0.391-2.811-1.669c-0.256-1,0.21-2.162,1.225-2.648c0.217-0.105,2.257-0.816,2.483-0.894c18.501-6.445,38.077-10.585,58.124-12.028c14.11-1.016,31.089-0.031,44.779-1.068c17.653-1.336,35.725-6.754,51.396-14.585c7.064-3.521,11.826-7.189,21.108-8.672c8.072-1.415,18.436,0.046,27.193-0.364c8.152-0.38,16.365-3.228,23.521-7.045C662.803,291.578,662.977,291.527,663.225,291.601z	.	.	.	670.516	287.977	.	.	.	.	.	.	.	667.0598	290.3552	.	.	.	.	.	.	.	.
SACM1L	.	.	.	.	.	.	.	.	.	M642.434,271.069c-0.112-0.05-0.197-0.055-0.31-0.069c-0.702,0.055-2.944,0.586-4.975,1.411c-5.526,2.248-9.795,6.327-13.826,10.7c-4.652,5.057-7.134,8.285-12.735,12.705c-3.803,3.001-8.508,5.841-13.343,8.481c-1.001,0.546-4.637,2.526-6.47,3.439c-15.671,7.831-33.743,13.249-51.396,14.585c-13.69,1.037-30.669,0.052-44.779,1.068c-20.047,1.443-39.622,5.583-58.124,12.028c-0.226,0.079-2.266,0.79-2.483,0.894c-1.015,0.486-1.481,1.648-1.225,2.648c0.324,1.278,1.635,1.976,2.811,1.669c1.616-0.42,23.561-9.644,54.754-12.869c24.164-2.499,40.873,0.545,63.558-4.015c12.592-2.529,25.306-6.938,37.621-13.171c2.169-1.097,4.074-2.188,5.912-3.22c0,0,2.103-1.148,4.293-2.491c3.08-1.882,5.651-3.658,7.888-5.366c7.699-5.879,11.228-10.902,16.097-16.243c4.679-5.134,9.562-9.287,16.418-10.599c0.099-0.019,0.197-0.034,0.292-0.072C643.089,272.312,643.096,271.36,642.434,271.069z	.	.	.	650.542	270.165	.	.	.	.	.	.	.	646.4427	272.8418	.	.	.	.	.	.	.	.
SYNJ1	.	.	.	.	.	.	.	.	.	M664.239,306.783c-0.23-0.131-0.529-0.143-0.767-0.028c-0.051,0.024-0.095,0.058-0.142,0.087c-3.946,3.007-10.055,2.877-15.002,2.506c-4.411-0.333-8.921-0.811-12.866,2.465c-5.209-0.653-7.803-1.253-11.673-3.479c-5.037-2.883-9.714-7.037-16.177-6.993c-0.195,0.002-0.384,0.021-0.576,0.029c-3.523,0.155-6.668,1.348-9.803,2.929c0,0.001,0.001,0.002,0.001,0.002c-1.013,0.553-4.632,2.523-6.46,3.434c-15.671,7.831-33.743,13.249-51.396,14.585c-13.69,1.037-30.669,0.052-44.779,1.068c-20.047,1.443-39.622,5.583-58.124,12.028c-0.226,0.079-2.266,0.79-2.483,0.894c-1.015,0.486-1.481,1.648-1.225,2.648c0.324,1.278,1.635,1.976,2.811,1.669c1.616-0.42,23.561-9.644,54.754-12.869c24.164-2.499,40.873,0.545,63.558-4.015c12.592-2.529,25.306-6.938,37.621-13.171c2.169-1.097,4.074-2.188,5.912-3.22c0,0,0.448-0.245,1.127-0.63c0,0,5.554-3.194,10.619-2.698c6.51,0.636,11.651,6.443,18.717,8.492c2.479,0.721,5.063,1.018,7.625,1.287c0.433,0.046,0.601,0.014,0.931-0.243c1.904-1.761,4.039-2.448,6.607-2.603c4.88-0.294,14.911,1.923,21.145-2.709c0.091-0.067,0.179-0.13,0.256-0.214C664.783,307.649,664.691,307.04,664.239,306.783z	.	.	.	669.851	301.168	.	.	.	.	.	.	.	666.1733	304.322	.	.	.	.	.	.	.	.
FIG4	.	.	.	.	.	.	.	.	.	M618.475,266.705c-11.479,4.017-14.716,17.208-18.203,27.015c-1.81,5.084-4.677,11.619-9.497,14.021c-15.671,7.831-33.743,13.249-51.396,14.585c-13.69,1.037-30.669,0.052-44.779,1.068c-20.047,1.443-39.622,5.583-58.124,12.028c-0.226,0.079-2.266,0.79-2.483,0.894c-1.015,0.486-1.481,1.648-1.225,2.648c0.324,1.278,1.635,1.976,2.811,1.669c1.616-0.42,23.561-9.644,54.754-12.869c24.164-2.499,40.873,0.545,63.558-4.015c12.126-2.435,24.361-6.612,36.248-12.484c0.608-0.302,0.494-0.246,1.52-0.763c2.039-1.028,4.173-2.838,6.535-6.705c0.026-0.043,0.052-0.082,0.079-0.126c6.533-10.771,6.615-30.321,20.703-35.401C620.007,267.911,619.623,266.423,618.475,266.705z	.	.	.	626.821	264.591	.	.	.	.	.	.	.	622.6105	268.297	.	.	.	.	.	.	.	.
MTMR9	.	.	.	.	.	.	.	.	.	M449.925,338.348c26.879,5.64,36.159,8.296,49.942,18.036c13.084,9.242,30.988,25.593,48.232,35.107c20.045,11.067,32.245,10.143,50.06,9.686c6.373-0.162,13.986-0.234,21.057,1.04c9.365,1.684,18.247,7.158,26.656,11.154c7.993,3.801,14.252,4.145,23.035,4.643c0.122,0.022,0.198,0.03,0.314,0.084c0.728,0.364,0.548,1.442-0.241,1.551c-0.055,0.007-0.11,0.004-0.164,0.007c-10.605-0.58-15.98-0.938-25.426-5.402c-5.742-2.719-11.117-5.604-17.13-7.709c-4.129-1.433-6.953-1.983-10.881-2.373c-9.381-0.907-18.433-0.028-27.704,0.146c-17.05,0.335-31.944-1.855-58.495-20.894c-19.103-13.7-30.168-24.499-43.105-30.613c-8.438-3.987-18.204-6.182-27.619-8.147c-8.879-1.852-14.724-3.136-20.776-3.742c-1.184-0.118-3.056-0.251-3.056-0.251c-1.01-0.164-1.886-1.048-1.927-2.191c-0.042-1.134,0.747-2.273,2.221-2.399C438.734,336.154,446.175,337.562,449.925,338.348z	.	.	.	677.265	418.579	.	.	.	.	.	.	.	672.6027	421.5981	.	.	.	.	.	.	.	.
MTMR1	.	.	.	.	.	.	.	.	.	M662.447,432.546c-0.097-0.028-0.303-0.031-0.405-0.04c-3.765-0.231-7.944-1.457-11.447-3.588c-2.824-1.71-5.487-4.259-8.654-5.895c-4.243-2.188-8.826-2.135-13.151-3.322c-7.678-2.088-14.308-9.043-18.874-15.858c-0.423-0.632-0.836-1.263-1.223-1.889c-0.34-0.556-0.548-0.758-1.23-0.822c-3.087-0.083-6.394-0.029-9.304,0.045c-17.816,0.457-30.015,1.381-50.06-9.686c-17.243-9.514-35.148-25.866-48.232-35.107c-13.783-9.74-23.063-12.396-49.942-18.036c-3.75-0.786-11.192-2.194-15.005-2.264c-1.474,0.126-2.263,1.265-2.221,2.399c0.041,1.143,0.917,2.027,1.927,2.191c0,0,1.872,0.133,3.056,0.251c6.052,0.606,11.897,1.89,20.776,3.742c9.415,1.966,19.181,4.16,27.619,8.147c12.937,6.113,24.001,16.913,43.105,30.613c26.552,19.039,41.446,21.229,58.495,20.894c6.391-0.12,12.68-0.563,19.043-0.537c0.029,0.047,0.18,0.278,0.262,0.395c3.488,5.269,7.992,10.406,13.272,13.87c5.071,3.313,8.524,3.889,12.465,4.482c5.432,0.814,7.523,1.235,11.534,4.041c2.941,2.049,5.002,3.928,8.986,5.555c2.836,1.161,5.873,1.883,8.913,2.033c0.407,0.021,0.698-0.177,0.832-0.464C663.208,433.247,662.954,432.674,662.447,432.546z	.	.	.	670.735	433.597	.	.	.	.	.	.	.	665.9514	435.8978	.	.	.	.	.	.	.	.
MTMR2	.	.	.	.	.	.	.	.	.	M651.311,440.12c-0.844-2.993-3.167-5.692-5.625-7.632c-2.317-1.83-4.121-2.807-5.517-6.179c-0.48-1.159-0.785-2.537-0.874-3.537c-0.088-1-0.873-1.122-1.827-1.352c-2.932-0.718-5.799-0.928-8.678-1.718c-7.678-2.088-14.308-9.043-18.874-15.858c-0.423-0.632-0.836-1.263-1.223-1.889c-0.34-0.556-0.548-0.758-1.23-0.822c-3.087-0.083-6.394-0.029-9.304,0.045c-17.816,0.457-30.015,1.381-50.06-9.686c-17.243-9.514-35.148-25.866-48.232-35.107c-13.783-9.74-23.063-12.396-49.942-18.036c-3.75-0.786-11.192-2.194-15.005-2.264c-1.474,0.126-2.263,1.265-2.221,2.399c0.041,1.143,0.917,2.027,1.927,2.191c0,0,1.872,0.133,3.056,0.251c6.052,0.606,11.897,1.89,20.776,3.742c9.415,1.966,19.181,4.16,27.619,8.147c12.937,6.113,24.001,16.913,43.105,30.613c26.552,19.039,41.446,21.229,58.495,20.894c6.391-0.12,12.68-0.563,19.043-0.537c0.029,0.047,0.18,0.278,0.262,0.395c3.488,5.269,7.992,10.406,13.272,13.87c5.071,3.313,8.524,3.889,12.465,4.482c1.801,0.27,3.232,0.498,4.49,0.783c0.197,0.045,0.344,0.202,0.378,0.401c0.066,0.393,0.205,1.103,0.458,1.915c1.595,5.134,4.596,6.483,7.183,8.643c1.872,1.564,3.746,3.813,4.453,6.136c0.033,0.106,0.058,0.212,0.109,0.31c0.204,0.402,0.72,0.562,1.106,0.354c0.285-0.146,0.467-0.471,0.442-0.792C651.333,440.225,651.318,440.174,651.311,440.12z	.	.	.	651.635	448.562	.	.	.	.	.	.	.	651.3196	449.6426	.	.	.	.	.	.	.	.
MTM1	.	.	.	.	.	.	.	.	.	M637.835,439.269c-1.386-5.23-4.07-6.528-6.844-9.242c-2.489-2.432-4.059-5.32-3.799-8.634c0.104-1.332,0.467-1.99-0.731-2.477c-6.686-2.723-12.448-8.958-16.545-15.073c-0.423-0.632-0.836-1.263-1.223-1.889c-0.34-0.556-0.548-0.758-1.23-0.822c-3.087-0.083-6.394-0.029-9.304,0.045c-17.816,0.457-30.015,1.381-50.06-9.686c-17.243-9.514-35.148-25.866-48.232-35.107c-13.783-9.74-23.063-12.396-49.942-18.036c-3.75-0.786-11.192-2.194-15.005-2.264c-1.474,0.126-2.263,1.265-2.221,2.399c0.041,1.143,0.917,2.027,1.927,2.191c0,0,1.872,0.133,3.056,0.251c6.052,0.606,11.897,1.89,20.776,3.742c9.415,1.966,19.181,4.16,27.619,8.147c12.937,6.113,24.001,16.913,43.105,30.613c26.552,19.039,41.446,21.229,58.495,20.894c6.391-0.12,12.68-0.563,19.043-0.537c0.029,0.047,0.18,0.278,0.262,0.395c3.488,5.269,7.992,10.406,13.272,13.87c1.599,1.045,3.324,1.997,5.106,2.706c-0.061,0.461-0.094,1.306-0.022,2.123c0.282,3.056,1.787,5.661,3.971,7.895c3.043,3.115,6.311,4.303,7.278,10.56c0.016,0.128,0.045,0.245,0.058,0.281c0.088,0.252,0.307,0.449,0.566,0.518c0.508,0.13,0.998-0.238,1.026-0.748C638.26,441.039,637.925,439.605,637.835,439.269z	.	.	.	638.022	449.681	.	.	.	.	.	.	.	629.8151	452.6356	.	.	.	.	.	.	.	.
