id.coral	id.uniprot	id.ensembl	id.entrez	id.HGNC	id.longname	kinase.fold	kinase.group	kinase.family	kinase.subfamily	branch.coords	branch.val	branch.group	branch.col	node.x	node.y	node.group	node.val.col	node.val.radius	node.radius	node.col	node.strokewidth	node.strokecol	text.x	text.y	text.col	text.font	text.size	text.label	ode.opacity	node.selected	nodeorder	branchorder
PPM1M	.	.	.	.	.	.	.	.	.	M776.475,616.432c-5.434-4.004-5.914-10.258-7.311-15.507c-2.062-7.756-5.531-9.838-10.702-15.033c0.001-0.001,0.124-0.186,0.123-0.187c1.821-2.738,3.809-5.409,5.236-8.184c4.516-8.695,2.537-14.568,10.899-24.649c0.5-0.593,0.996-1.176,1.499-1.733c0.247-0.304,0.412-0.548,0.509-0.983c0.457-2.05-1.991-3.607-3.625-2.288c-0.158,0.128-0.187,0.171-0.323,0.322c-1.106,1.357-1.894,2.409-2.57,3.3c0,0-3.161,4.589-4.823,9.564c-2.008,6.009-1.821,10.831-5.349,17.229c-1.142,2.095-2.493,4.173-3.766,6.307c-0.001,0-0.001-0.001-0.002-0.001c-0.042,0.071-0.421,0.718-0.469,0.805c-0.031,0.062-0.068,0.12-0.094,0.183c-0.108,0.277-0.114,0.57-0.038,0.819c0.073,0.25,0.172,0.362,0.314,0.531c0.387,0.367,0.771,0.719,1.152,1.065c3.812,3.452,7.29,5.956,9.215,10.479c2.611,6.132,2.081,13.766,8.918,19.106c0.114,0.088,0.223,0.188,0.355,0.252c0.452,0.216,1.02-0.023,1.15-0.538c0.067-0.256-0.001-0.545-0.176-0.746C776.56,616.504,776.516,616.471,776.475,616.432z	.	.	.	782.776	622.269	.	.	.	.	.	.	.	778.7524	625.1736	.	.	.	.	.	.	.	.
PHLPP2	.	.	.	.	.	.	.	.	.	M828.754,481.449c-0.05,0.084-0.117,0.155-0.184,0.229c-2.882,3.182-3.987,4.148-5.686,7.658c-2.004,4.145-3.37,8.7-5.981,12.643c-2.288,3.455-5.259,5.729-8.717,8.079c-4.238,2.882-1.994,3.539-10.861,13.568c-6.163,7.006-10.14,10.495-13.902,22.956c-0.774,2.566-1.64,5.817-4.152,5.731c-1.472-0.05-5.07-0.395-5.237-0.426c-1.14-0.213-2.022-1.363-1.752-2.691c0.135-0.654,0.57-1.24,1.157-1.55c0.644-0.339,1.09-0.264,1.743-0.176c1.117,0.15,2.234,0.32,3.345,0.446c1.117-2.227,3.027-10.242,8.632-17.492c4.765-6.163,11.121-10.938,15.225-17.488c1.093-1.745,2.368-3.335,4.128-4.447c3.27-2.057,6.326-4.135,8.586-7.272c3.044-4.227,4.484-9.474,7.061-14.157c1.416-2.574,3.404-4.521,5.278-6.583c0.041-0.037,0.079-0.078,0.124-0.111c0.258-0.189,0.63-0.207,0.905-0.045C828.875,480.569,828.971,481.083,828.754,481.449z	.	.	.	833.298	474.477	.	.	.	.	.	.	.	819.9828	476.7499	.	.	.	.	.	.	.	.
PHLPP1	.	.	.	.	.	.	.	.	.	M809.929,475.025c0.001-0.704-0.63-1.029-1.14-0.814c-0.245,0.103-0.434,0.331-0.487,0.591c-0.205,1,0.59,9.621-1.355,15.392c-2.085,6.188-3.72,6.919-3.935,16.826c-0.068,3.133,0,4.917-0.627,5.918c-4.103,6.549-10.46,11.324-15.224,17.488c-5.605,7.25-7.516,15.266-8.632,17.492c-1.112-0.125-2.228-0.296-3.345-0.446c-0.653-0.088-1.1-0.163-1.743,0.176c-0.587,0.31-1.021,0.896-1.156,1.55c-0.27,1.327,0.612,2.478,1.752,2.691c0.166,0.031,3.765,0.375,5.237,0.426c2.512,0.086,3.378-3.165,4.152-5.731c3.762-12.461,7.739-15.95,13.901-22.956c4.326-4.893,6.008-7.559,7.08-9.331c0.767-1.428,0.808-2.842,0.8-4.814c-0.01-2.455-0.176-5.542,0.321-9.087c0.336-2.402,1.157-4.335,2.225-7.182c0.855-2.28,1.596-4.219,1.974-8.26C810.031,481.667,809.929,478.36,809.929,475.025z	.	.	.	808.69	466.607	.	.	.	.	.	.	.	794.8252	468.9249	.	.	.	.	.	.	.	.
PHPT1	.	.	.	.	.	.	.	.	.	M649.375,723.285c15.236,3.245,13.481,9.622,33.306,10.484c0.055,0.009,0.112,0.012,0.166,0.026c0.921,0.227,0.804,1.599-0.231,1.617c-23.894-0.849-18.814-8.53-41.37-8.833c-0.077-0.005-0.154-0.006-0.23-0.016c-0.654-0.078-1.252-0.486-1.583-1.057c-0.808-1.392,0.026-3.282,1.64-3.45C642.075,721.952,647.775,722.944,649.375,723.285z	.	.	.	690.966	734.85	.	.	.	.	.	.	.	687.8102	738.2288	.	.	.	.	.	.	.	.
RPAP2	.	.	.	.	.	.	.	.	.	M761.524,723.285c15.236,3.245,13.481,9.622,33.306,10.484c0.055,0.009,0.112,0.012,0.166,0.026c0.921,0.227,0.804,1.599-0.231,1.617c-23.894-0.849-18.814-8.53-41.37-8.833c-0.077-0.005-0.154-0.006-0.23-0.016c-0.654-0.078-1.252-0.486-1.583-1.057c-0.808-1.392,0.026-3.282,1.64-3.45C754.224,721.952,759.924,722.944,761.524,723.285z	.	.	.	803.276	734.85	.	.	.	.	.	.	.	800.675	737.8962	.	.	.	.	.	.	.	.
PPP6C	.	.	.	.	.	.	.	.	.	M891.78,58.457c0.021,0.051,0.032,0.106,0.048,0.159c0.739,3.821,1.144,8.194,1.051,12.57c-0.133,6.336-1.391,13.149-2.695,17.579c-1.008,3.42-2.407,6.716-3.667,9.745c-3.512,8.444-5.171,13.162-4.678,22.95c0.257,5.114,1.059,10.757,1.269,14.253c0.57,9.494-1.661,15.491,2.55,28.28c2.098,6.37,4.704,11.316,7.909,16.033c11.579-1.095,22.207,1.536,32.784,6.25c0.199,0.089,1.87,0.844,2.059,0.954c0.656,0.394,1.045,1.24,0.764,2.107c-0.323,0.918-1.346,1.411-2.26,1.091c-2.208-0.747-16.234-8.704-33.986-6.806c-0.193,0.007-0.321,0.018-0.524-0.021c-0.259-0.05-0.508-0.157-0.719-0.314c-0.905-0.676-9.062-12.383-11.303-26.914c-1.32-8.546,0.354-13.778-0.254-22.752c-0.467-6.889-1.336-13.681-0.391-20.598c1.37-10.01,6.823-17.521,9.175-26.514c4.297-16.42,1.267-26.606,1.287-27.752c0.004-0.266,0.148-0.525,0.369-0.672C890.981,57.807,891.581,57.968,891.78,58.457z	.	.	.	888.726	50.558	.	.	.	.	.	.	.	886.0359	52.9348	.	.	.	.	.	.	.	.
PPP4C	.	.	.	.	.	.	.	.	.	M928.408,187.228c-0.189-0.11-1.86-0.865-2.059-0.954c-10.577-4.715-21.204-7.346-32.784-6.25c-3.205-4.717-5.812-9.662-7.909-16.033c-4.211-12.789-1.979-18.786-2.55-28.28c-0.21-3.495-1.011-9.138-1.269-14.253c-0.324-6.429,0.287-10.673,1.734-15.219c0.556-1.744,1.235-3.539,2.033-5.514c0.017-0.095,0.013-0.169,0.008-0.306c-0.062-0.298-0.054-0.264-0.193-0.493c-0.333-0.455-0.695-0.945-1.069-1.463c-1.061-1.463-2.24-3.159-3.258-5.002c-2.659-4.81-2.903-8.054-2.286-12.577c0.546-3.997,1.561-7.821,0.973-11.576c-0.735-4.695-3.586-9.535-7.293-12.403c-0.939-0.583-1.707,0.51-1.127,1.185c0.036,0.042,0.08,0.076,0.12,0.115c3.825,2.972,7.008,8.637,6.767,14.046c-0.339,7.672-3.883,12.597,1.008,21.941c1.175,2.242,2.646,4.413,4.132,6.507c-0.72,1.719-1.397,3.465-1.989,5.274c-0.733,2.236-1.324,4.564-1.665,7.047c-0.946,6.916-0.077,13.71,0.391,20.598c0.608,8.974-1.066,14.206,0.254,22.752c2.242,14.531,10.398,26.237,11.303,26.914c0.211,0.157,0.459,0.264,0.719,0.314c0.204,0.039,0.332,0.028,0.524,0.021c17.751-1.898,31.777,6.059,33.986,6.806c0.914,0.321,1.937-0.173,2.26-1.091C929.453,188.467,929.064,187.622,928.408,187.228z	.	.	.	866.579	50.935	.	.	.	.	.	.	.	847.2977	53.9348	.	.	.	.	.	.	.	.
PPP2CB	.	.	.	.	.	.	.	.	.	M928.408,187.228c-0.189-0.11-1.86-0.865-2.059-0.954c-10.577-4.715-21.204-7.346-32.784-6.25c-3.205-4.717-5.812-9.662-7.909-16.033c-4.211-12.789-1.979-18.786-2.55-28.28c-0.054-0.911-0.15-1.972-0.265-3.127c0,0-0.238-3.497-0.988-4.58c-0.623-0.9-1.429-1.655-2.321-2.355c-1.831-1.437-4.059-2.628-6.047-4.258c-22.521-18.453-13.518-31.524-19.169-45.787c-0.656-1.657-1.629-3.042-1.912-3.282c-0.203-0.172-0.492-0.235-0.748-0.165c-0.524,0.143-0.736,0.726-0.518,1.16c0.025,0.049,0.059,0.093,0.089,0.14c1.309,1.671,1.968,3.535,2.79,7.016c2.473,10.491-1.417,20.753,10.197,34.889c2.454,2.987,5.544,5.978,8.3,8.272c2.39,1.988,5.872,3.722,7.237,5.887c0.038,0.061,0.058,0.136,0.082,0.207c0.102,1.295,0.204,2.592,0.293,3.893c0.608,8.974-1.066,14.206,0.254,22.752c2.242,14.531,10.398,26.237,11.303,26.914c0.211,0.157,0.459,0.264,0.719,0.314c0.204,0.039,0.332,0.028,0.524,0.021c17.751-1.898,31.777,6.059,33.986,6.806c0.914,0.321,1.937-0.173,2.26-1.091C929.453,188.467,929.064,187.622,928.408,187.228z	.	.	.	846.501	67.172	.	.	.	.	.	.	.	820.6926	69.1354	.	.	.	.	.	.	.	.
PPP2CA	.	.	.	.	.	.	.	.	.	M928.408,187.228c-0.189-0.11-1.86-0.865-2.059-0.954c-10.577-4.715-21.204-7.346-32.784-6.25c-3.205-4.717-5.812-9.662-7.909-16.033c-4.211-12.789-1.979-18.786-2.55-28.28c-0.054-0.911-0.15-1.972-0.265-3.127c0,0-0.238-3.497-0.988-4.58c-0.623-0.9-1.429-1.655-2.321-2.355c-1.831-1.437-4.059-2.628-6.047-4.258c-4.3-3.524-7.454-6.851-9.778-10.029c-0.422-0.577-0.817-1.149-1.186-1.716c-0.203-0.256-0.419-0.404-0.75-0.422c-0.688-0.037-1.333-0.118-1.952-0.226c-10.802-1.883-11.681-14.079-20.704-20.888c-1.434-1.083-3.073-1.992-4.811-2.432c-0.1-0.025-0.198-0.052-0.3-0.056c-0.266-0.01-0.531,0.12-0.69,0.334c-0.321,0.435-0.129,1.024,0.312,1.232c0.05,0.023,0.104,0.037,0.156,0.055c3.023,0.734,5.918,3.263,7.775,5.462c5.72,6.774,8.19,17.433,19.579,18.462c0.883,1.361,1.895,2.755,3.076,4.192c2.454,2.987,5.544,5.978,8.3,8.272c2.39,1.988,5.872,3.722,7.237,5.887c0.038,0.061,0.058,0.136,0.082,0.207c0.102,1.295,0.204,2.592,0.293,3.893c0.608,8.974-1.066,14.206,0.254,22.752c2.242,14.531,10.398,26.237,11.303,26.914c0.211,0.157,0.459,0.264,0.719,0.314c0.204,0.039,0.332,0.028,0.524,0.021c17.751-1.898,31.777,6.059,33.986,6.806c0.914,0.321,1.937-0.173,2.26-1.091C929.453,188.467,929.064,187.622,928.408,187.228z	.	.	.	825.778	83.935	.	.	.	.	.	.	.	793.7756	86.7793	.	.	.	.	.	.	.	.
PPP1CA	.	.	.	.	.	.	.	.	.	M928.408,187.228c-0.189-0.11-1.86-0.865-2.059-0.954c-10.577-4.715-21.204-7.346-32.784-6.25c-3.205-4.717-5.812-9.662-7.909-16.033c-0.287-0.873-0.539-1.708-0.769-2.52c0.167-0.531,0.656-1.35,0.893-1.787c5.001-9.418,18.436-10.704,24.208-13.145c3.998-1.691,7.161-4.933,9.013-8.56c1.667-3.27,1.728-5.141,4.395-8.988c1.48-2.138,2.594-3.602,3.355-5.926c1.472-4.51,1.901-9.46,5.349-12.734c0.1-0.093,0.209-0.175,0.289-0.286c0.159-0.214,0.202-0.507,0.116-0.757c-0.18-0.52-0.782-0.681-1.194-0.439c-0.049,0.028-0.088,0.066-0.134,0.098c-4.153,3.741-4.54,9.312-6.16,13.881c-0.904,2.549-2.842,4.564-4.283,6.906c-1.648,2.676-2.41,5.608-3.894,8.069c-1.754,2.904-4.44,5.396-7.732,6.684c-4.16,1.627-14.326,2.771-21.034,8.038c-1.668,1.31-3.056,2.78-4.244,4.492c-3.108,4.482-2.463,4.239-1.532,7.564c2.97,10.598,8.657,18.161,9.384,18.704c0.211,0.157,0.459,0.264,0.719,0.314c0.204,0.039,0.332,0.028,0.524,0.021c17.751-1.898,31.777,6.059,33.986,6.806c0.914,0.321,1.937-0.173,2.26-1.091C929.453,188.467,929.064,187.622,928.408,187.228z	.	.	.	937.523	103.011	.	.	.	.	.	.	.	912.2872	105.1842	.	.	.	.	.	.	.	.
