id.coral	id.uniprot	id.ensembl	id.entrez	id.HGNC	id.longname	kinase.group	kinase.family	kinase.subfamily	branch.coords	branch.val	branch.group	branch.col	node.x	node.y	node.group	node.val.col	node.val.radius	node.radius	node.col	node.strokewidth	node.strokecol	text.x	text.y	text.font	text.size	text.label	ode.opacity	node.selected	nodeorder	branchorder
PPIP5K2	.	.	.	.	.	.	.	.	"M595.743,632.397c-0.168-0.027-1.005-0.065-1.181-0.074c-5.736-0.305-11.347-0.578-17.021,1.479c-0.748-1.134-1.429-2.415-3.309-4.566c-5.927-6.809-10.621-6.505-15.666-9.793c-2.49-1.623-4.492-3.886-6.646-5.957c0,0-1.504-1.454-2.943-2.52c-0.828-0.613-1.705-1.173-2.672-1.656c-6.674-3.331-16.105-3.245-20.145-9.865c-0.359-0.595-1.072-0.538-1.391-0.099c-0.156,0.215-0.2,0.508-0.111,0.758c0.018,0.052,0.047,0.1,0.07,0.15c4.358,7.269,14.141,7.366,20.593,10.743c1.918,1.005,3.436,2.346,4.882,3.811c2.796,2.813,4.841,5.652,9.103,8.033c5.224,2.92,9.049,3.369,13.848,10.541c0.322,0.478,0.716,1.179,1.125,1.877c1.066,1.822,1.622,2.706,2.813,2.62c0.215-0.016,2.37-0.674,2.797-0.791c4.848-1.281,9.793-0.724,15.154-0.21c0.131,0.013,0.228,0.025,0.366,0.024c1.112-0.009,1.991-0.867,2.167-1.867C597.805,633.711,596.898,632.579,595.743,632.397z"	.	.	.	522.055	592.08.	.	.	.	.	.	.	.	503.969	595.2368	.	.	.	.	.	.	.
MINPP1	.	.	.	.	.	.	.	.	"M595.743,632.397c-0.168-0.027-1.005-0.065-1.181-0.074c-3.708-0.197-7.365-0.37-11.02,0.08c-1.704-2.185-2.541-5.057-3.226-7.969c-3.093-13.137,1.457-17.498,3.449-25.353c2.002-7.888,1.288-15.965-1.471-23.331c-0.12-0.32-0.183-0.546-0.524-0.7c-0.586-0.264-1.253,0.231-1.148,0.879c0.16,1,4.605,10.324,1.253,22.36c-2.073,7.443-6.748,11.761-5.143,24.397c0.356,2.806,1.076,6.436,2.181,9.051c0.212,0.5,0.446,0.975,0.686,1.419c0.788,1.456,1.647,2.548,2.032,2.852c0.721,0.572,1.178,0.456,3.526,0.32c3.181-0.131,6.447,0.22,9.885,0.549c0.131,0.013,0.228,0.025,0.366,0.024c1.112-0.009,1.991-0.867,2.167-1.867C597.805,633.711,596.898,632.579,595.743,632.397z"	.	.	.	578.267	567.971.	.	.	.	.	.	.	.	565.3788	570.8508	.	.	.	.	.	.	.
PFKFB3	.	.	.	.	.	.	.	.	"M710.327,675.523c-0.135-0.227-0.391-0.382-0.653-0.398c-0.125-0.007-0.448,0.046-0.577,0.064c-3.81,0.514-7.556,0.609-11.3-0.132c-2.82-0.557-3.483-0.992-4.423-1.564c-0.345-0.21-0.728-0.429-1.268-0.693c-4.144-2.021-8.949-2.39-13.414-3.07c-3.803-0.579-6.726-1.277-10.899-3.462c-9.953-5.204-17.953-14.993-27.609-19.012c-5.378-2.237-11.04-3.1-16.263-5.045c-4.967-1.85-9.974-4.847-15.223-6.864c-4.66-1.787-12.906-3.074-13.69-2.965c-0.937,0.134-1.643,0.85-1.855,1.678c-0.329,1.292,0.482,2.491,1.624,2.768c1.197,0.288,7.449,0.592,12.571,2.392c5.382,1.884,10.386,4.802,16.149,6.635c4.066,1.292,8.293,2.049,12.107,3.142c6.483,1.855,9.615,3.991,18.856,11.046c5.343,4.076,11.023,8.281,17.867,10.382c3.818,1.172,7.893,1.376,11.903,1.995c3.437,0.53,5.844,1.279,7.74,2.285c0.105,0.029,1.557,0.855,1.64,0.894c0.974,0.457,2.275,0.811,3.6,1.07c1.311,0.256,2.645,0.42,3.707,0.498c2.931,0.215,5.891,0.018,8.822-0.407c0.055-0.013,0.109-0.022,0.161-0.04C710.373,676.551,710.6,675.971,710.327,675.523z"	.	.	.	718.115	674.526.	.	.	.	.	.	.	.	714.2458	677.4855	.	.	.	.	.	.	.
PFKFB1	.	.	.	.	.	.	.	.	"M700.388,695.442c-0.04-0.036-0.091-0.063-0.135-0.095c-6.607-3.65-8.42-5.963-12.231-11.473c-2.574-3.719-4.309-6.203-7.351-8.801c-1.474-1.26-3.045-2.435-4.496-3.761c-1.164-1.065-2.816-2.666-4.656-3.354c-1.161-0.442-2.375-0.982-3.725-1.689c-9.953-5.204-17.953-14.993-27.609-19.012c-5.378-2.237-11.04-3.1-16.263-5.045c-4.967-1.85-9.974-4.847-15.223-6.864c-4.66-1.787-12.906-3.074-13.69-2.965c-0.937,0.134-1.643,0.85-1.855,1.678c-0.329,1.292,0.482,2.491,1.624,2.768c1.197,0.288,7.449,0.592,12.571,2.392c5.382,1.884,10.386,4.802,16.149,6.635c4.066,1.292,8.293,2.049,12.107,3.142c6.483,1.855,9.615,3.991,18.856,11.046c5.051,3.853,10.416,7.826,16.768,10.023c1.889,0.846,2.511,1.748,4.158,3.152c1.833,1.568,4.151,3.123,6.063,5.071c3.409,3.479,5.748,7.871,9.012,11.666c2.552,2.956,5.447,4.868,8.997,6.829c0.051,0.022,0.099,0.051,0.15,0.066C700.46,697.118,701.063,696.013,700.388,695.442z"	.	.	.	707.461	700.056.	.	.	.	.	.	.	.	703.3833	702.9807	.	.	.	.	.	.	.
PFKFB4	.	.	.	.	.	.	.	.	"M687.405,685.977c-0.057-0.801-0.157-1.589-0.307-2.326c-0.168-0.841-0.494-1.854-1.019-2.54c-1.662-2.3-3.188-4.141-5.409-6.038c-1.474-1.26-3.045-2.435-4.496-3.761c-1.164-1.065-2.816-2.666-4.656-3.354c-1.161-0.442-2.375-0.982-3.725-1.689c-9.953-5.204-17.953-14.993-27.609-19.012c-5.378-2.237-11.04-3.1-16.263-5.045c-4.967-1.85-9.974-4.847-15.223-6.864c-4.66-1.787-12.906-3.074-13.69-2.965c-0.937,0.134-1.643,0.85-1.855,1.678c-0.329,1.292,0.482,2.491,1.624,2.768c1.197,0.288,7.449,0.592,12.571,2.392c5.382,1.884,10.386,4.802,16.149,6.635c4.066,1.292,8.293,2.049,12.107,3.142c6.483,1.855,9.615,3.991,18.856,11.046c5.051,3.853,10.416,7.826,16.768,10.023c1.889,0.846,2.511,1.748,4.158,3.152c1.833,1.568,4.151,3.123,6.063,5.071c1.045,1.066,1.983,2.223,2.884,3.416c0.314,0.439,0.567,0.835,0.707,1.14c0.46,0.998,0.665,2.948,0.701,4.099c0.115,3.616-0.728,4.974-1.394,7.186c-0.954,3.128-0.542,6.432,0.544,9.472c0.033,0.091,0.062,0.182,0.113,0.263c0.256,0.417,0.854,0.54,1.259,0.175c0.193-0.179,0.296-0.46,0.255-0.723c-0.007-0.055-0.026-0.106-0.04-0.161c-0.515-1.406-0.873-2.963-0.975-4.449c-0.24-3.453,0.88-4.9,1.522-7.432C687.424,689.705,687.536,687.804,687.405,685.977z"	.	.	.	687.84	711.575.	.	.	.	.	.	.	.	686.2014	714.6193	.	.	.	.	.	.	.
PGAM5	.	.	.	.	.	.	.	.	"M670.943,702.854c-1.174-3.751-2.8-7.2-5.212-10.26c-7.976-10.118-18.652-9.45-30.197-24.397c-2.949-3.814-5.4-8.049-7.26-12.235c-1.346-3.031-1.928-5.694-3.478-8.824c-0.162-0.327-0.351-0.69-0.548-1.067c-0.703-1.342-1.545-2.894-1.96-3.917c-0.485-0.883-1.094-1.005-3.493-2.166c-3.3-1.569-6.645-3.315-10.097-4.641c-4.66-1.787-12.906-3.074-13.69-2.965c-0.937,0.134-1.643,0.85-1.855,1.678c-0.329,1.292,0.482,2.491,1.624,2.768c1.197,0.288,7.449,0.592,12.571,2.392c4.084,1.43,7.953,3.453,12.099,5.148c0.769,1.508,1.678,2.97,2.469,4.455c1.361,2.533,2.13,5.168,3.446,7.987c3.911,8.416,10.688,17.121,18.977,22.991c9.688,6.874,20.089,8.103,24.977,23.359c0.036,0.117,0.066,0.23,0.124,0.336c0.128,0.234,0.376,0.394,0.642,0.42c0.512,0.051,0.944-0.387,0.894-0.902C670.972,702.96,670.954,702.909,670.943,702.854z"	.	.	.	671.712	711.464.	.	.	.	.	.	.	.	649.1789	714.8409	.	.	.	.	.	.	.
UBASH3B	.	.	.	.	.	.	.	.	"M650.295,723.039c-0.015-0.055-0.04-0.106-0.058-0.157c-4.307-8.48-12.352-11.655-17.462-20.856c-3.487-6.275-4.979-13.714-5.077-20.954c-0.072-7.17,1.428-11.329,1.057-18.037c-0.247-4.446-1.746-10.324-1.746-10.324c-0.642-1.811-1.235-3.599-2.212-5.572c-0.162-0.327-0.351-0.69-0.548-1.067c-0.703-1.342-1.545-2.894-1.96-3.917c-0.485-0.883-1.094-1.005-3.493-2.166c-3.3-1.569-6.645-3.315-10.097-4.641c-4.66-1.787-12.906-3.074-13.69-2.965c-0.937,0.134-1.643,0.85-1.855,1.678c-0.329,1.292,0.482,2.491,1.624,2.768c1.197,0.288,7.449,0.592,12.571,2.392c4.084,1.43,7.953,3.453,12.099,5.148c0.769,1.508,1.678,2.97,2.469,4.455c0.733,1.364,1.297,2.762,1.864,4.198c0,0,1.887,5.649,2.195,11.804c0.23,4.641-0.68,9.419-0.657,14.25c0.047,8.377,1.823,17.193,6.205,24.497c5.38,8.903,13.058,11.991,17.188,19.94c0.044,0.084,0.088,0.175,0.15,0.255c0.164,0.208,0.434,0.325,0.701,0.307C650.107,724.035,650.423,723.505,650.295,723.039z"	.	.	.	652.081	731.15.	.	.	.	.	.	.	.	645.2992	733.574	.	.	.	.	.	.	.
UBASH3A	.	.	.	.	.	.	.	.	"M634.728,719.469c-1.157-4.267-2.868-8.062-1.541-13.427c0.134-0.539,0.287-1.089,0.486-1.662c0.135-0.373,0.118-0.498,0.015-0.788c-0.242-0.486-0.707-1.196-0.912-1.566c-3.487-6.275-4.979-13.714-5.077-20.954c-0.072-7.17,1.428-11.329,1.057-18.037c-0.247-4.446-1.746-10.324-1.746-10.324c-0.642-1.811-1.235-3.599-2.212-5.572c-0.162-0.327-0.351-0.69-0.548-1.067c-0.703-1.342-1.545-2.894-1.96-3.917c-0.485-0.883-1.094-1.005-3.493-2.166c-3.3-1.569-6.645-3.315-10.097-4.641c-4.66-1.787-12.906-3.074-13.69-2.965c-0.937,0.134-1.643,0.85-1.855,1.678c-0.329,1.292,0.482,2.491,1.624,2.768c1.197,0.288,7.449,0.592,12.571,2.392c4.084,1.43,7.953,3.453,12.099,5.148c0.769,1.508,1.678,2.97,2.469,4.455c0.733,1.364,1.297,2.762,1.864,4.198c0,0,1.887,5.649,2.195,11.804c0.23,4.641-0.68,9.419-0.657,14.25c0.047,8.377,1.823,17.193,6.205,24.497c0.363,0.605,0.327,0.453,0.208,0.876c-1.875,6.432,0.009,10.617,1.307,15.202c0.875,3.097,1.393,6.004,0.412,9.1c-0.018,0.066-0.04,0.139-0.047,0.208c-0.029,0.266,0.08,0.54,0.281,0.715c0.421,0.353,1.016,0.198,1.252-0.219c0.026-0.051,0.044-0.102,0.066-0.153C636.081,725.977,635.644,722.843,634.728,719.469z"	.	.	.	632.605	737.336.	.	.	.	.	.	.	.	606.9459	740.0031	.	.	.	.	.	.	.
DUSP22	.	.	.	.	.	.	.	.	"M389.18,303.177c-0.476-0.851-1.483-1.345-2.49-1.132c-0.204,0.043-0.249,0.07-0.444,0.143c-26.953,11.802-57.065,27.97-72.963,52.914c-5.904,9.262-9.571,19.353-10.565,30.247c-0.135,1.481-0.206,2.965-0.225,4.446c-2.082-4.359-1.92-9.565-4.106-14.363c-1.909-4.188-5-8.005-7.718-11.369c-7.138-8.67-9.034-12.397-9.86-20.334c-0.051-0.525-0.349-0.884-0.953-1.002c-3.493-0.44-6.34-1.687-9.702-8.121c-2.212-4.232-3.857-8.918-8.418-12.751c-1.843-1.549-4.14-2.776-5.101-3.068c-0.054-0.005-0.107-0.016-0.161-0.016c-0.806,0-1.128,1.044-0.467,1.499c0.045,0.031,0.097,0.053,0.145,0.08c6.675,2.857,9.255,8.519,10.9,12.024c2.615,5.576,5.161,11.13,11.697,12.349c0.788,8.597,3.414,12.796,9.459,20.557c2.479,3.181,5.406,6.755,7.329,10.848c2.721,5.801,1.647,13.04,6.463,18.604c2.046,2.359,4.617,1.797,4.423-2.41c-0.23-7.629,1.24-15.416,3.931-22.491c11.899-31.286,47.185-50.13,77.644-63.369C389.424,305.854,389.817,304.324,389.18,303.177z"	.	.	.	248.502	316.259.	.	.	.	.	.	.	.	227.1516	317.6786	.	.	.	.	.	.	.
DUSP7	.	.	.	.	.	.	.	.	"M389.18,303.177c-0.476-0.851-1.483-1.345-2.49-1.132c-0.204,0.043-0.249,0.07-0.444,0.143c-26.953,11.802-57.065,27.97-72.963,52.914c-5.904,9.262-9.571,19.353-10.565,30.247c-0.299,3.275-0.318,6.564-0.036,9.808c0.003,0.041,0.004,0.082,0.007,0.123c-21.775-3.208-35.237-8.303-45.226-14.008c-0.866-0.5-3.203-1.93-3.283-1.97c-1.991-1.003-3.88-1.239-9.534-0.878c-11.981,0.775-17.863,6.875-29.147,6.913c0-0.001,0-0.002,0-0.003c-2.048-0.012-3.317-0.147-4.421-0.257c-0.644-0.064-1.445-0.024-2.762,0.142c-1.714,0.212-3.831,0.7-6.088,1.339c-5.052,1.429-10.814,3.612-14.376,5.147c-5.29,2.265-7.944,3.922-11.734,5.398c-3.328,1.318-9.489,3.446-14.38,4.709c-6.375,1.655-9.13,1.679-14.081,2.351c-8.577,1.172-8.309,2.35-12.542,4.355c-4.543,2.152-10.512,4.321-15.514,4.11c-0.096-0.004-0.196-0.011-0.294,0.004c-0.421,0.064-0.757,0.459-0.688,0.938c0.048,0.314,0.298,0.591,0.608,0.668c0.054,0.015,0.109,0.018,0.164,0.026c6.323,0.347,14.659-3.154,18.09-5.041c2.32-1.276,3.034-1.808,5.252-2.354c8.927-2.15,11.977,0.171,33.041-7.216c4.133-1.456,6.395-2.746,10.199-4.435c5.357-2.387,19.661-8.122,24.936-7.416c0.779,0.104,3.109,0.331,4.47,0.341c4.792,0.104,8.706-0.821,15.564-3.27c5.054-1.805,8.732-3.17,14.383-3.409c8.53-0.356,5.478,0.128,14.153,4.586c11.044,5.674,23.98,9.38,36.078,11.656c0.973,0.184,5.141,0.921,7.611,1.286c0.875,0.129,1.542,0.213,1.77,0.208c0.958-0.035,1.787-0.771,1.725-2.042c-0.014-0.113-0.17-3.138-0.208-3.67c-0.427-7.999,1.074-16.219,3.901-23.655c11.899-31.286,47.185-50.13,77.644-63.369C389.424,305.854,389.817,304.324,389.18,303.177z"	.	.	.	111.299	411.618.	.	.	.	.	.	.	.	90.6991	414.337	.	.	.	.	.	.	.
INPP5F	.	.	.	.	.	.	.	.	"M615.382,257.515c0.654,0.198,0.764,1.023,0.285,1.418c-0.04,0.035-0.093,0.062-0.137,0.093c-4.135,2.213-8.568,4.081-13.105,5.437c-5.484,1.637-9.217,2.016-13.381,2.161c-8.144,0.285-16.783-0.604-24.455,0.803c-9.089,1.624-13.46,5.293-20.918,9.066c-12.315,6.233-25.029,10.642-37.621,13.171c-22.685,4.56-39.395,1.516-63.558,4.015c-31.194,3.225-53.138,12.449-54.754,12.869c-1.176,0.306-2.486-0.391-2.811-1.669c-0.256-1,0.21-2.162,1.225-2.648c0.217-0.105,2.257-0.816,2.483-0.894c18.501-6.445,38.077-10.585,58.124-12.028c14.11-1.016,31.089-0.031,44.779-1.068c17.653-1.336,35.725-6.754,51.396-14.585c7.064-3.521,11.826-7.189,21.108-8.672c8.072-1.415,18.436,0.046,27.193-0.364c8.152-0.38,16.365-3.228,23.521-7.045C614.96,257.492,615.134,257.441,615.382,257.515z"	.	.	.	622.673	253.891.	.	.	.	.	.	.	.	619.2172	256.2691	.	.	.	.	.	.	.
SACM1L	.	.	.	.	.	.	.	.	"M594.591,236.983c-0.112-0.05-0.197-0.055-0.31-0.069c-0.702,0.055-2.944,0.586-4.975,1.411c-5.526,2.248-9.795,6.327-13.826,10.7c-4.652,5.057-7.134,8.285-12.735,12.705c-3.803,3.001-8.508,5.841-13.343,8.481c-1.001,0.546-4.637,2.526-6.47,3.439c-15.671,7.831-33.743,13.249-51.396,14.585c-13.69,1.037-30.669,0.052-44.779,1.068c-20.047,1.443-39.622,5.583-58.124,12.028c-0.226,0.079-2.266,0.79-2.483,0.894c-1.015,0.486-1.481,1.648-1.225,2.648c0.324,1.278,1.635,1.976,2.811,1.669c1.616-0.42,23.561-9.644,54.754-12.869c24.164-2.499,40.873,0.545,63.558-4.015c12.592-2.529,25.306-6.938,37.621-13.171c2.169-1.097,4.074-2.188,5.912-3.22c0,0,2.103-1.148,4.293-2.491c3.08-1.882,5.651-3.658,7.888-5.366c7.699-5.879,11.228-10.902,16.097-16.243c4.679-5.134,9.562-9.287,16.418-10.599c0.099-0.019,0.197-0.034,0.292-0.072C595.246,238.226,595.253,237.274,594.591,236.983z"	.	.	.	602.699	236.079.	.	.	.	.	.	.	.	598.6001	238.7556	.	.	.	.	.	.	.
SYNJ1	.	.	.	.	.	.	.	.	"M616.396,272.697c-0.23-0.131-0.529-0.143-0.767-0.028c-0.051,0.024-0.095,0.058-0.142,0.087c-3.946,3.007-10.055,2.877-15.002,2.506c-4.411-0.333-8.921-0.811-12.866,2.465c-5.209-0.653-7.803-1.253-11.673-3.479c-5.037-2.883-9.714-7.037-16.177-6.993c-0.195,0.002-0.384,0.021-0.576,0.029c-3.523,0.155-6.668,1.348-9.803,2.929c0,0.001,0.001,0.002,0.001,0.002c-1.013,0.553-4.632,2.523-6.46,3.434c-15.671,7.831-33.743,13.249-51.396,14.585c-13.69,1.037-30.669,0.052-44.779,1.068c-20.047,1.443-39.622,5.583-58.124,12.028c-0.226,0.079-2.266,0.79-2.483,0.894c-1.015,0.486-1.481,1.648-1.225,2.648c0.324,1.278,1.635,1.976,2.811,1.669c1.616-0.42,23.561-9.644,54.754-12.869c24.164-2.499,40.873,0.545,63.558-4.015c12.592-2.529,25.306-6.938,37.621-13.171c2.169-1.097,4.074-2.188,5.912-3.22c0,0,0.448-0.245,1.127-0.63c0,0,5.554-3.194,10.619-2.698c6.51,0.636,11.651,6.443,18.717,8.492c2.479,0.721,5.063,1.018,7.625,1.287c0.433,0.046,0.601,0.014,0.931-0.243c1.904-1.761,4.039-2.448,6.607-2.603c4.88-0.294,14.911,1.923,21.145-2.709c0.091-0.067,0.179-0.13,0.256-0.214C616.94,273.563,616.848,272.954,616.396,272.697z"	.	.	.	622.008	267.082.	.	.	.	.	.	.	.	618.3307	270.2358	.	.	.	.	.	.	.
FIG4	.	.	.	.	.	.	.	.	"M570.632,232.619c-11.479,4.017-14.716,17.208-18.203,27.015c-1.81,5.084-4.677,11.619-9.497,14.021c-15.671,7.831-33.743,13.249-51.396,14.585c-13.69,1.037-30.669,0.052-44.779,1.068c-20.047,1.443-39.622,5.583-58.124,12.028c-0.226,0.079-2.266,0.79-2.483,0.894c-1.015,0.486-1.481,1.648-1.225,2.648c0.324,1.278,1.635,1.976,2.811,1.669c1.616-0.42,23.561-9.644,54.754-12.869c24.164-2.499,40.873,0.545,63.558-4.015c12.126-2.435,24.361-6.612,36.248-12.484c0.608-0.302,0.494-0.246,1.52-0.763c2.039-1.028,4.173-2.838,6.535-6.705c0.026-0.043,0.052-0.082,0.079-0.126c6.533-10.771,6.615-30.321,20.703-35.401C572.164,233.825,571.78,232.337,570.632,232.619z"	.	.	.	578.978	230.505.	.	.	.	.	.	.	.	574.7679	234.2108	.	.	.	.	.	.	.
MTMR9	.	.	.	.	.	.	.	.	"M402.082,304.262c26.879,5.64,36.159,8.296,49.942,18.036c13.084,9.242,30.988,25.593,48.232,35.107c20.045,11.067,32.245,10.143,50.06,9.686c6.373-0.162,13.986-0.234,21.057,1.04c9.365,1.684,18.247,7.158,26.656,11.154c7.993,3.801,14.252,4.145,23.035,4.643c0.122,0.022,0.198,0.03,0.314,0.084c0.728,0.364,0.548,1.442-0.241,1.551c-0.055,0.007-0.11,0.004-0.164,0.007c-10.605-0.58-15.98-0.938-25.426-5.402c-5.742-2.719-11.117-5.604-17.13-7.709c-4.129-1.433-6.953-1.983-10.881-2.373c-9.381-0.907-18.433-0.028-27.704,0.146c-17.05,0.335-31.944-1.855-58.495-20.894c-19.103-13.7-30.168-24.499-43.105-30.613c-8.438-3.987-18.204-6.182-27.619-8.147c-8.879-1.852-14.724-3.136-20.776-3.742c-1.184-0.118-3.056-0.251-3.056-0.251c-1.01-0.164-1.886-1.048-1.927-2.191c-0.042-1.134,0.747-2.273,2.221-2.399C390.891,302.068,398.332,303.476,402.082,304.262z"	.	.	.	629.422	384.493.	.	.	.	.	.	.	.	624.7601	387.5118	.	.	.	.	.	.	.
MTMR1	.	.	.	.	.	.	.	.	"M614.604,398.46c-0.097-0.028-0.303-0.031-0.405-0.04c-3.765-0.231-7.944-1.457-11.447-3.588c-2.824-1.71-5.487-4.259-8.654-5.895c-4.243-2.188-8.826-2.135-13.151-3.322c-7.678-2.088-14.308-9.043-18.874-15.858c-0.423-0.632-0.836-1.263-1.223-1.889c-0.34-0.556-0.548-0.758-1.23-0.822c-3.087-0.083-6.394-0.029-9.304,0.045c-17.816,0.457-30.015,1.381-50.06-9.686c-17.243-9.514-35.148-25.866-48.232-35.107c-13.783-9.74-23.063-12.396-49.942-18.036c-3.75-0.786-11.192-2.194-15.005-2.264c-1.474,0.126-2.263,1.265-2.221,2.399c0.041,1.143,0.917,2.027,1.927,2.191c0,0,1.872,0.133,3.056,0.251c6.052,0.606,11.897,1.89,20.776,3.742c9.415,1.966,19.181,4.16,27.619,8.147c12.937,6.113,24.001,16.913,43.105,30.613c26.552,19.039,41.446,21.229,58.495,20.894c6.391-0.12,12.68-0.563,19.043-0.537c0.029,0.047,0.18,0.278,0.262,0.395c3.488,5.269,7.992,10.406,13.272,13.87c5.071,3.313,8.524,3.889,12.465,4.482c5.432,0.814,7.523,1.235,11.534,4.041c2.941,2.049,5.002,3.928,8.986,5.555c2.836,1.161,5.873,1.883,8.913,2.033c0.407,0.021,0.698-0.177,0.832-0.464C615.365,399.161,615.111,398.588,614.604,398.46z"	.	.	.	622.892	399.511.	.	.	.	.	.	.	.	618.1088	401.8115	.	.	.	.	.	.	.
MTMR2	.	.	.	.	.	.	.	.	"M603.468,406.034c-0.844-2.993-3.167-5.692-5.625-7.632c-2.317-1.83-4.121-2.807-5.517-6.179c-0.48-1.159-0.785-2.537-0.874-3.537c-0.088-1-0.873-1.122-1.827-1.352c-2.932-0.718-5.799-0.928-8.678-1.718c-7.678-2.088-14.308-9.043-18.874-15.858c-0.423-0.632-0.836-1.263-1.223-1.889c-0.34-0.556-0.548-0.758-1.23-0.822c-3.087-0.083-6.394-0.029-9.304,0.045c-17.816,0.457-30.015,1.381-50.06-9.686c-17.243-9.514-35.148-25.866-48.232-35.107c-13.783-9.74-23.063-12.396-49.942-18.036c-3.75-0.786-11.192-2.194-15.005-2.264c-1.474,0.126-2.263,1.265-2.221,2.399c0.041,1.143,0.917,2.027,1.927,2.191c0,0,1.872,0.133,3.056,0.251c6.052,0.606,11.897,1.89,20.776,3.742c9.415,1.966,19.181,4.16,27.619,8.147c12.937,6.113,24.001,16.913,43.105,30.613c26.552,19.039,41.446,21.229,58.495,20.894c6.391-0.12,12.68-0.563,19.043-0.537c0.029,0.047,0.18,0.278,0.262,0.395c3.488,5.269,7.992,10.406,13.272,13.87c5.071,3.313,8.524,3.889,12.465,4.482c1.801,0.27,3.232,0.498,4.49,0.783c0.197,0.045,0.344,0.202,0.378,0.401c0.066,0.393,0.205,1.103,0.458,1.915c1.595,5.134,4.596,6.483,7.183,8.643c1.872,1.564,3.746,3.813,4.453,6.136c0.033,0.106,0.058,0.212,0.109,0.31c0.204,0.402,0.72,0.562,1.106,0.354c0.285-0.146,0.467-0.471,0.442-0.792C603.49,406.139,603.475,406.088,603.468,406.034z"	.	.	.	603.792	414.476.	.	.	.	.	.	.	.	603.477	415.5564	.	.	.	.	.	.	.
MTM1	.	.	.	.	.	.	.	.	"M589.992,405.183c-1.386-5.23-4.07-6.528-6.844-9.242c-2.489-2.432-4.059-5.32-3.799-8.634c0.104-1.332,0.467-1.99-0.731-2.477c-6.686-2.723-12.448-8.958-16.545-15.073c-0.423-0.632-0.836-1.263-1.223-1.889c-0.34-0.556-0.548-0.758-1.23-0.822c-3.087-0.083-6.394-0.029-9.304,0.045c-17.816,0.457-30.015,1.381-50.06-9.686c-17.243-9.514-35.148-25.866-48.232-35.107c-13.783-9.74-23.063-12.396-49.942-18.036c-3.75-0.786-11.192-2.194-15.005-2.264c-1.474,0.126-2.263,1.265-2.221,2.399c0.041,1.143,0.917,2.027,1.927,2.191c0,0,1.872,0.133,3.056,0.251c6.052,0.606,11.897,1.89,20.776,3.742c9.415,1.966,19.181,4.16,27.619,8.147c12.937,6.113,24.001,16.913,43.105,30.613c26.552,19.039,41.446,21.229,58.495,20.894c6.391-0.12,12.68-0.563,19.043-0.537c0.029,0.047,0.18,0.278,0.262,0.395c3.488,5.269,7.992,10.406,13.272,13.87c1.599,1.045,3.324,1.997,5.106,2.706c-0.061,0.461-0.094,1.306-0.022,2.123c0.282,3.056,1.787,5.661,3.971,7.895c3.043,3.115,6.311,4.303,7.278,10.56c0.016,0.128,0.045,0.245,0.058,0.281c0.088,0.252,0.307,0.449,0.566,0.518c0.508,0.13,0.998-0.238,1.026-0.748C590.417,406.953,590.082,405.519,589.992,405.183z"	.	.	.	590.179	415.595.	.	.	.	.	.	.	.	581.9725	418.5493	.	.	.	.	.	.	.
MTMR7	.	.	.	.	.	.	.	.	"M624.77,354.692c-0.051,0.019-0.099,0.049-0.15,0.073c-7.028,4.388-15.99,1.549-24.006,2.222c-4.839,0.407-8.432,3.402-12.635,4.994c-2.694,1.02-5.745,0.838-8.609,1.936c-2.707,1.036-4.754,3.146-7.183,3.817c-1.365,0.376-4.185-0.098-4.185-0.098c-6.066-0.743-12.315-0.681-17.687-0.544c-17.816,0.457-30.015,1.381-50.06-9.686c-17.243-9.514-35.148-25.866-48.232-35.107c-13.783-9.74-23.063-12.396-49.942-18.036c-3.75-0.786-11.192-2.194-15.005-2.264c-1.474,0.126-2.263,1.265-2.221,2.399c0.041,1.143,0.917,2.027,1.927,2.191c0,0,1.872,0.133,3.056,0.251c6.052,0.606,11.897,1.89,20.776,3.742c9.415,1.966,19.181,4.16,27.619,8.147c12.937,6.113,24.001,16.913,43.105,30.613c26.552,19.039,41.446,21.229,58.495,20.894c9.27-0.174,18.323-1.053,27.704-0.146c0.077,0.008,2.878,0.32,2.942,0.321c1.79,0.06,3.281-0.522,4.752-1.369c0.591-0.341,1.179-0.72,1.782-1.124c1.777-1.203,2.671-1.795,4.464-2.296c2.561-0.701,4.785-0.65,7.495-1.78c3.865-1.608,7.273-4.356,11.262-4.94c7.411-1.085,17.305,2.146,25.123-2.657c0.095-0.057,0.186-0.111,0.266-0.185c0.193-0.183,0.285-0.464,0.245-0.726C625.773,354.787,625.223,354.523,624.77,354.692z"	.	.	.	632.006	350.23.	.	.	.	.	.	.	.	627.7531	352.7064	.	.	.	.	.	.	.
