id.coral	id.uniprot	id.ensembl	id.entrez	id.HGNC	id.longname	kinase.group	kinase.family	kinase.subfamily	branch.coords	branch.val	branch.group	branch.col	node.x	node.y	node.group	node.val.col	node.val.radius	node.radius	node.col	node.strokewidth	node.strokecol	text.x	text.y	text.font	text.size	text.label	ode.opacity	node.selected	nodeorder	branchorder
PPM1K	.	.	.	.	.	.	.	.	"M375.481,828.18c2.198,0.474,3.308,2.194,4.134,4.198c2.575,6.247,3.267,12.42,4.687,18.561c2.017,8.786,4.62,12.946,10.654,21.174c3.034,4.135,6.116,8.278,8.353,12.957c2.73,5.713,1.65,13.38,5.397,17.962c0.032,0.049,0.067,0.092,0.093,0.14c0.223,0.424,0.03,1.02-0.494,1.17c-0.254,0.076-0.546,0.017-0.751-0.148c-0.256-0.209-1.184-1.45-1.871-3.01c-1.77-4.02-1.814-8.794-3.089-12.929c-1.116-3.618-4.479-8.338-6.763-11.336c-3.904-5.122-8.169-9.947-11.201-15.743c-4.401-8.408-4.885-18.105-8.421-26.183c-0.493-1.128-0.819-2.029-1.58-2.514c-0.178-0.03-2.96-0.487-3.134-0.534c-0.707-0.193-1.29-0.763-1.514-1.468c-0.412-1.298,0.378-2.91,2.116-2.993C372.585,827.506,375.004,828.073,375.481,828.18z"	.	.	.	412.897	910.572.	.	.	.	.	.	.	.	408.431	913.6982	.	.	.	.	.	.	.
PPM1H	.	.	.	.	.	.	.	.	"M370.745,827.97c-0.158,0.128-0.187,0.171-0.323,0.322c-1.106,1.357-1.894,2.409-2.57,3.3c0,0-3.161,4.589-4.823,9.564c-2.008,6.009-1.821,10.831-5.349,17.229c-2.637,4.836-6.398,9.578-7.704,15.139c-2.963,12.578,1.291,15.183-3.079,28.95c-0.011,0.054-0.028,0.108-0.034,0.163c-0.029,0.263,0.081,0.538,0.283,0.713c0.398,0.338,1.004,0.216,1.251-0.222c0.076-0.148,0.312-0.928,0.36-1.087c4.042-13.236,0.182-16.461,3.324-27.984c1.619-5.946,6.582-10.988,9.383-16.434c4.516-8.695,2.537-14.568,10.899-24.649c0.5-0.593,0.996-1.176,1.499-1.733c0.247-0.304,0.412-0.548,0.509-0.983C374.827,828.207,372.38,826.65,370.745,827.97z"	.	.	.	346.224	911.08.	.	.	.	.	.	.	.	325.8502	913.2549	.	.	.	.	.	.	.
PPM1J	.	.	.	.	.	.	.	.	"M370.745,827.97c-0.158,0.128-0.187,0.171-0.323,0.322c-1.106,1.357-1.894,2.409-2.57,3.3c0,0-3.161,4.589-4.823,9.564c-2.008,6.009-1.821,10.831-5.349,17.229c-2.637,4.836-6.398,9.578-7.704,15.139c-0.551,2.337-0.851,4.329-1.005,6.113c-0.03,0.343-0.054,0.678-0.073,1.007c0.028,0.142,0.08,0.279,0.192,0.42c0.14,0.176,0.379,0.31,0.574,0.447c0.391,0.272,0.749,0.547,1.092,0.824c6.711,5.432,4.485,11.895,7.08,18.286c0.623,1.534,1.541,2.957,2.752,4.087c0.111,0.103,0.217,0.214,0.349,0.29c0.776,0.447,1.599-0.497,1.068-1.204c-0.033-0.044-0.075-0.082-0.113-0.123c-5.318-4.717-2.461-12.823-6.685-19.307c-1.238-1.902-2.565-3.102-4.159-4.367c-0.137-0.107-0.081-0.317-0.058-0.504c0.2-1.621,0.534-3.397,1.09-5.436c1.619-5.946,6.582-10.988,9.383-16.434c4.516-8.695,2.537-14.568,10.899-24.649c0.5-0.593,0.996-1.176,1.499-1.733c0.247-0.304,0.412-0.548,0.509-0.983C374.827,828.207,372.38,826.65,370.745,827.97z"	.	.	.	367.718	909.872.	.	.	.	.	.	.	.	362.0965	913.2548	.	.	.	.	.	.	.
PPM1M	.	.	.	.	.	.	.	.	"M374.118,896.532c-5.434-4.004-5.914-10.258-7.311-15.507c-2.062-7.756-5.531-9.838-10.702-15.033c0.001-0.001,0.124-0.186,0.123-0.187c1.821-2.738,3.809-5.409,5.236-8.184c4.516-8.695,2.537-14.568,10.899-24.649c0.5-0.593,0.996-1.176,1.499-1.733c0.247-0.304,0.412-0.548,0.509-0.983c0.457-2.05-1.991-3.607-3.625-2.288c-0.158,0.128-0.187,0.171-0.323,0.322c-1.106,1.357-1.894,2.409-2.57,3.3c0,0-3.161,4.589-4.823,9.564c-2.008,6.009-1.821,10.831-5.349,17.229c-1.142,2.095-2.493,4.173-3.766,6.307c-0.001,0-0.001-0.001-0.002-0.001c-0.042,0.071-0.421,0.718-0.469,0.805c-0.031,0.062-0.068,0.12-0.094,0.183c-0.108,0.277-0.114,0.57-0.038,0.819c0.073,0.25,0.172,0.362,0.314,0.531c0.387,0.367,0.771,0.719,1.152,1.065c3.812,3.452,7.29,5.956,9.215,10.479c2.611,6.132,2.081,13.766,8.918,19.106c0.114,0.088,0.223,0.188,0.355,0.252c0.452,0.216,1.02-0.023,1.15-0.538c0.067-0.256-0.001-0.545-0.176-0.746C374.203,896.604,374.159,896.571,374.118,896.532z"	.	.	.	380.419	902.369.	.	.	.	.	.	.	.	376.3957	905.2737	.	.	.	.	.	.	.
PHLPP2	.	.	.	.	.	.	.	.	"M426.397,761.549c-0.05,0.084-0.117,0.155-0.184,0.229c-2.882,3.182-3.987,4.148-5.686,7.658c-2.004,4.145-3.37,8.7-5.981,12.643c-2.288,3.455-5.259,5.729-8.717,8.079c-4.238,2.882-1.994,3.539-10.861,13.568c-6.163,7.006-10.14,10.495-13.902,22.956c-0.774,2.566-1.64,5.817-4.152,5.731c-1.472-0.05-5.07-0.395-5.237-0.426c-1.14-0.213-2.022-1.363-1.752-2.691c0.135-0.654,0.57-1.24,1.157-1.55c0.644-0.339,1.09-0.264,1.743-0.176c1.117,0.15,2.234,0.32,3.345,0.446c1.117-2.227,3.027-10.242,8.632-17.492c4.765-6.163,11.121-10.938,15.225-17.488c1.093-1.745,2.368-3.335,4.128-4.447c3.27-2.057,6.326-4.135,8.586-7.272c3.044-4.227,4.484-9.474,7.061-14.157c1.416-2.574,3.404-4.521,5.278-6.583c0.041-0.037,0.079-0.078,0.124-0.111c0.258-0.189,0.63-0.207,0.905-0.045C426.518,760.669,426.614,761.183,426.397,761.549z"	.	.	.	430.941	754.577.	.	.	.	.	.	.	.	417.6263	756.85	.	.	.	.	.	.	.
PHLPP1	.	.	.	.	.	.	.	.	"M407.572,755.125c0.001-0.704-0.63-1.029-1.14-0.814c-0.245,0.103-0.434,0.331-0.487,0.591c-0.205,1,0.59,9.621-1.355,15.392c-2.085,6.188-3.72,6.919-3.935,16.826c-0.068,3.133,0,4.917-0.627,5.918c-4.103,6.549-10.46,11.324-15.224,17.488c-5.605,7.25-7.516,15.266-8.632,17.492c-1.112-0.125-2.228-0.296-3.345-0.446c-0.653-0.088-1.1-0.163-1.743,0.176c-0.587,0.31-1.021,0.896-1.156,1.55c-0.27,1.327,0.612,2.478,1.752,2.691c0.166,0.031,3.765,0.375,5.237,0.426c2.512,0.086,3.378-3.165,4.152-5.731c3.762-12.461,7.739-15.95,13.901-22.956c4.326-4.893,6.008-7.559,7.08-9.331c0.767-1.428,0.808-2.842,0.8-4.814c-0.01-2.455-0.176-5.542,0.321-9.087c0.336-2.402,1.157-4.335,2.225-7.182c0.855-2.28,1.596-4.219,1.974-8.26C407.674,761.767,407.572,758.46,407.572,755.125z"	.	.	.	406.333	746.707.	.	.	.	.	.	.	.	392.4685	749.025	.	.	.	.	.	.	.
PHP	.	.	.	.	.	.	.	.	"M446.822,1036.202c15.236,3.245,13.481,9.622,33.306,10.484c0.055,0.009,0.112,0.012,0.166,0.026c0.921,0.227,0.804,1.599-0.231,1.617c-23.894-0.849-18.814-8.53-41.37-8.833c-0.077-0.005-0.154-0.006-0.23-0.016c-0.654-0.078-1.252-0.486-1.583-1.057c-0.808-1.392,0.026-3.282,1.64-3.45C439.522,1034.869,445.222,1035.861,446.822,1036.202z"	.	.	.	488.413	1047.767.	.	.	.	.	.	.	.	485.2571	1051.1454	.	.	.	.	.	.	.
RPAP2	.	.	.	.	.	.	.	.	"M551.971,1036.202c15.236,3.245,13.481,9.622,33.306,10.484c0.055,0.009,0.112,0.012,0.166,0.026c0.921,0.227,0.804,1.599-0.231,1.617c-23.894-0.849-18.814-8.53-41.37-8.833c-0.077-0.005-0.154-0.006-0.23-0.016c-0.654-0.078-1.252-0.486-1.583-1.057c-0.808-1.392,0.026-3.282,1.64-3.45C544.671,1034.869,550.371,1035.861,551.971,1036.202z"	.	.	.	593.723	1047.767.	.	.	.	.	.	.	.	591.1216	1050.8129	.	.	.	.	.	.	.
PPP6C	.	.	.	.	.	.	.	.	"M195.154,552.033c0.029,0.047,0.048,0.1,0.072,0.15c1.327,3.658,2.411,7.914,3.004,12.251c0.86,6.279,0.683,13.205,0.087,17.784c-0.461,3.536-1.327,7.01-2.098,10.199c-2.148,8.889-3.049,13.809-1.031,23.399c1.054,5.011,2.728,10.459,3.482,13.879c2.048,9.288,0.782,15.56,6.941,27.533c3.068,5.964,6.416,10.441,10.319,14.599c11.265-2.892,22.174-1.956,33.358,1.046c0.211,0.057,1.979,0.541,2.183,0.62c0.71,0.286,1.226,1.061,1.084,1.962c-0.176,0.957-1.109,1.604-2.062,1.431c-2.298-0.392-17.396-6.058-34.632-1.407c-0.19,0.037-0.314,0.068-0.521,0.061c-0.264-0.009-0.526-0.076-0.759-0.198c-1-0.526-10.887-10.813-15.373-24.815c-2.64-8.234-1.805-13.664-3.809-22.432c-1.539-6.731-3.459-13.304-3.607-20.283c-0.212-10.101,3.999-18.373,4.916-27.623c1.676-16.89-2.91-26.477-3.069-27.612c-0.038-0.263,0.064-0.542,0.259-0.721C194.263,551.516,194.881,551.582,195.154,552.033z"	.	.	.	190.902	544.709.	.	.	.	.	.	.	.	179.3035	547.3539	.	.	.	.	.	.	.
PPP4C	.	.	.	.	.	.	.	.	"M251.47,673.491c-0.204-0.079-1.972-0.564-2.183-0.62c-11.184-3.003-22.092-3.939-33.358-1.046c-3.903-4.158-7.251-8.634-10.319-14.599c-6.159-11.973-4.893-18.245-6.941-27.533c-0.754-3.419-2.428-8.867-3.482-13.879c-1.325-6.299-1.386-10.586-0.667-15.303c0.276-1.809,0.666-3.689,1.146-5.764c0.002-0.096-0.014-0.169-0.04-0.303c-0.108-0.285-0.095-0.252-0.268-0.457c-0.4-0.397-0.834-0.825-1.285-1.278c-1.277-1.279-2.706-2.77-4-4.431c-3.378-4.335-4.127-7.501-4.225-12.065c-0.086-4.033,0.319-7.969-0.849-11.586c-1.46-4.522-5.033-8.857-9.143-11.11c-1.019-0.429-1.606,0.771-0.928,1.347c0.042,0.036,0.091,0.063,0.137,0.095c4.243,2.337,8.273,7.435,8.88,12.815c0.865,7.631-1.865,13.049,4.427,21.513c1.511,2.031,3.304,3.945,5.099,5.781c-0.442,1.81-0.838,3.641-1.14,5.52c-0.374,2.323-0.594,4.715-0.542,7.221c0.147,6.979,2.068,13.553,3.607,20.283c2.004,8.768,1.169,14.198,3.809,22.432c4.487,14.002,14.373,24.288,15.373,24.815c0.233,0.122,0.495,0.189,0.759,0.198c0.208,0.007,0.332-0.024,0.521-0.061c17.236-4.651,32.334,1.015,34.632,1.407c0.953,0.174,1.886-0.474,2.062-1.431C252.696,674.552,252.18,673.778,251.47,673.491z"	.	.	.	169.087	548.545.	.	.	.	.	.	.	.	149.2637	551.0111	.	.	.	.	.	.	.
